Gene ID	CV-H3K9ac_1.sort.bam	CV-H3K9ac_2.sort.bam	CV-H3K9ac_3.sort.bam	CV-H3K9ac_4.sort.bam	CV-H3K9ac_5.sort.bam	CV-H3K9ac_6.sort.bam	GF-H3K9ac_1.sort.bam	GF-H3K9ac_2.sort.bam	GF-H3K9ac_3.sort.bam	GF-H3K9ac_4.sort.bam
Unc119	1045	1486	5362	643	694	595	6852	6550	7101	8700
Unc119b	694	941	5732	1385	1044	645	9900	10849	9351	11499
Unc13a	1181	692	2476	742	349	398	3549	2801	3600	4300
Unc13b	1488	647	8987	989	943	395	12250	14050	13000	14549
Unc13c	345	641	1839	295	198	149	650	1050	1000	400
Unc13d	1337	1630	5133	1243	1037	544	8250	7000	7650	9650
Unc45a	1535	1288	10698	1577	1141	542	12250	15050	15199	19799
Unc45b	841	694	1629	150	246	197	2650	2450	2250	2900
Unc50	1725	1731	18088	2126	2286	744	26050	32044	26700	36648
Unc5a	931	694	2524	545	350	299	2901	3201	3200	2700
Unc5b	1329	1729	8534	1044	1441	240	20900	18148	20200	26400
Unc5c	635	690	1230	445	249	397	1000	1951	946	950
Unc5cl	1729	1788	13589	1686	1339	890	12850	12150	13100	16400
Unc5d	300	645	1239	298	297	247	1100	1700	1704	1301
Unc79	448	743	2578	299	200	296	1750	2200	2100	3250
Unc80	340	447	1535	349	199	199	900	1750	1550	1350
Unc93a	1066	892	5235	843	788	399	10200	11250	11350	17100
Unc93b1	1835	1344	8042	946	1441	942	10100	10701	11553	14602
Uncx	544	497	1694	345	198	150	1399	1850	1350	1801
Ung	1379	843	7935	791	1143	245	8696	9050	8649	10950
Unk	2088	3669	29728	3071	3906	895	37253	45300	38703	57003
Unkl	1275	1682	12414	1493	2091	598	21401	18451	17502	23451
Uox	841	396	1587	400	298	148	1550	1850	1350	1751
Upb1	937	450	2824	498	100	400	3000	3150	2900	3500
Upf1	2165	3259	25947	3536	3873	1196	35346	38651	37543	45996
Upf2	1906	2079	17942	2332	1584	647	28002	29250	26750	42100
