Gene ID	merged_CV-H3K9ac_1.sort.bam	merged_CV-H3K9ac_2.sort.bam	merged_CV-H3K9ac_3.sort.bam	merged_CV-H3K9ac_4.sort.bam	merged_CV-H3K9ac_5.sort.bam	merged_CV-H3K9ac_6.sort.bam	GF-H3K9ac_1.sort.bam	GF-H3K9ac_2.sort.bam	GF-H3K9ac_3.sort.bam	GF-H3K9ac_4.sort.bam
Cryzl1	1763.221471892796	2717.1454480403227	3968.5243429083525	3308.274841820687	5602.149011211307	2745.0	8701.56325289121	8111.14598358489	6652.395442774552	9912.530851498039
Cs	2218.2230332550807	4183.136244023875	7114.076710992075	6533.793941094353	7230.245734978282	2549.0	17005.837989264703	19629.322898636794	17533.692191542108	22670.989678233862
Csad	1082.1658756724605	1060.5673402167722	1195.2940225989882	1723.5349530462313	1466.8902100898288	1292.0	1814.8974784601667	1538.3207899902377	2115.5411381192434	1928.6824733683966
Csda	1804.0920413951314	2823.9253928435355	3770.0584325808695	3351.281763144336	5376.816149552093	1744.0	7979.58211899418	6205.725914165164	7065.907401318273	8320.695014757472
Csdc2	1172.9491760714538	1316.2436223949833	934.1128846080205	1236.7747980649328	1513.2036836324341	1247.0	1540.9225440405635	1137.658147870053	1330.3918497450911	1367.5704328605214
Csde1	2487.317756350104	3901.934875438522	6753.397996623596	5785.734158070884	7809.164154260849	2994.0	16333.580073955622	15627.94075285537	15354.030528205642	23816.537361253137
Cse1l	1890.896790780623	3352.720099578172	4798.376469291002	4091.5221059271407	5863.107621749449	2243.0	10193.259810529704	8618.092607558945	9465.4108653995	13029.819965430679
Csf1	1082.8892485840063	1506.830934234981	1286.3237201358606	1787.3937150116494	2354.8620008970897	845.0	2908.8082873950616	1870.807851644946	2551.7351872159943	3834.9384063487887
Csf1r	812.3477796658913	1061.8435945371293	721.8866711644986	940.9393089598329	1112.4140087445028	748.0	969.6027624650206	734.1985588589771	828.7686932838272	672.7962116401384
Csf2	1145.099318976942	975.4837188596305	1024.6133397173528	1136.4253149764188	1285.1988908073	1147.0	2162.960008575815	1573.9818628491023	1439.4403620192788	2220.2274984124565
Csf2ra	1109.6540463111996	2587.818343577467	2854.469032936747	3611.278151146395	4310.715614350195	1549.0	6439.156807139496	4719.847878379139	4819.508048470004	9374.293882185928
