GeneName	GF-H3K9ac_1	GF-H3K9ac_4	GF-H3K9ac_3	GF-H3K9ac_2	merged_CV-H3K9ac_6	merged_CV-H3K9ac_5	merged_CV-H3K9ac_4	merged_CV-H3K9ac_3	merged_CV-H3K9ac_2	merged_CV-H3K9ac_1
Gm4220	39.28134268448032	31.84568735096655	48.853733498836135	58.73588470871817	57.0	48.98540470852494	65.16200200552859	75.15242471067361	64.23813412464204	67.63536722952878
Gm4224	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Gm4251	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Gm4262	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Gm4265	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Gm4278	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Gm428	131.2692970721874	113.92682517106343	140.89067785825063	145.44123832634975	185.0	188.8164690583143	192.22790591630937	186.02871328029417	187.18396698571192	187.35358409035248
Gm4285	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Gm4297	31.822859896287856	30.05156411992618	37.512688222320605	59.78473979280242	51.0	49.87604843049812	53.43284164453345	46.04409119597609	51.90100902785649	57.146460012115234
Gm4301	20.386519621059406	17.044170694883505	23.554478651224564	24.12366693393782	30.0	36.51639260090041	30.62614094259844	29.108333514697524	33.18261232928529	35.80695912151524
Gm4302	21.8782161786979	26.463317657845444	40.56604656599786	37.40916466567169	42.0	40.07896748879313	29.32290090248787	36.25310628648692	31.48093990214246	28.934916461830497
Gm4303	30.82839552452886	29.154502504405997	41.002240615094614	40.20611155656303	54.0	54.32926704036402	43.65854134370416	43.66250027204629	45.519737426070854	33.63684038687796
Gm4305	30.82839552452886	29.154502504405997	41.002240615094614	40.20611155656303	54.0	54.32926704036402	43.65854134370416	43.66250027204629	45.519737426070854	33.63684038687796
Gm4307	30.82839552452886	29.154502504405997	41.002240615094614	40.20611155656303	54.0	54.32926704036402	43.65854134370416	43.66250027204629	45.519737426070854	33.63684038687796
Gm4312	20.386519621059406	17.044170694883505	23.554478651224564	24.12366693393782	30.0	36.51639260090041	30.62614094259844	29.108333514697524	33.18261232928529	35.80695912151524
Gm4340	117.84402805344097	125.58862617282583	167.49851485315247	172.71147051254033	180.0	216.42642443948293	205.91192633747036	199.52439518256304	219.0903249946401	231.47933169464397
Gm4345	26.35330585161338	21.529478772484428	32.71455368225634	39.15725647247878	25.0	36.51639260090041	21.503460661824437	36.25310628648692	34.03344854285671	43.402374692745745
Gm4349	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Gm436	48.72875421619078	55.16928935449135	42.747016811481615	55.58931945646541	80.0	49.87604843049812	54.73608168464402	63.509091304794595	67.21606087214201	71.61391824303048
Gm4371	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Gm438	72.59589913840666	86.5664458976978	85.05783957386649	78.66413130631898	74.0	76.59536008969354	69.7233421459156	75.41704592444358	77.00067732821331	79.20933381426099
Gm44	3.480625301156484	4.485308077600923	5.670522638257766	7.341985588589771	8.0	6.234506053812265	5.212960160442288	7.6740151993293475	6.8066897085713425	7.233729115457624
Gm4461	11.933572461107946	6.279431308641291	12.649627423805784	12.935879370372454	12.0	18.703518161436797	12.380780381050434	18.788106177668404	17.867560484999775	14.467458230915248
Gm4477	18.39759087754142	14.801516656083043	18.32015006206355	10.838169202203947	23.0	19.594161883409978	20.85184064176915	16.93575768127856	17.442142378214065	11.212280128959318
Gm4489	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Gm4498	38.784110498600825	25.117725234565164	44.49179300786862	41.604585002008704	53.0	46.3134735426054	41.7036812835383	49.21954576121581	46.370573639642274	55.338027733250826
Gm4532	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Gm4541	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Gm4566	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Gm4567	58.17616574790124	47.09573481480969	73.71679429735096	71.67176407909062	115.0	108.65853408072805	94.48490290801647	110.61166735585059	130.1779406764269	113.20786065691182
Gm4598	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Gm4636	365.9628888073103	354.787868938233	270.004116390889	261.8641526597018	136.0	217.3170681614561	178.54388549514834	179.41318293604473	150.17259169535524	127.31363243205419
Gm4684	26.35330585161338	24.669194426805074	30.969777485869333	37.40916466567169	26.0	38.29768004484677	50.82636156431231	28.57909108715757	59.983953056784955	52.444536087067775
Gm4710	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Gm4719	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Gm4724	391.3217302871647	439.1116607971303	412.6395704455266	362.90385909315154	248.0	317.06916502245235	301.7000692855974	272.29522896930683	299.9197652839248	263.6694262584304
Gm4736	85.02670378539412	59.20606662433217	86.80261577025348	85.65649853354732	83.0	75.70471636772037	95.13652292807176	85.47265204770272	102.95118184214155	82.8261983719898
Gm4745	36.29794956920333	27.360379273365627	52.77947994070689	32.51450760661184	41.0	55.21991076233721	71.02658218602618	47.36719726482597	57.00602630928499	56.06140064479659
Gm4759	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Gm4763	81.04884629835813	59.20606662433217	54.5242561370939	51.393899120128395	71.0	55.21991076233721	82.75574254702131	72.50621257297384	85.5090394639275	70.89054533148472
Gm4776	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
