gene	read_counts_per_gene_CV-H3K9ac_1.txt	read_counts_per_gene_CV-H3K9ac_2.txt	read_counts_per_gene_CV-H3K9ac_3.txt	read_counts_per_gene_CV-H3K9ac_4.txt	read_counts_per_gene_CV-H3K9ac_5.txt	read_counts_per_gene_CV-H3K9ac_6.txt	read_counts_per_gene_GF-H3K9ac_1.txt	read_counts_per_gene_GF-H3K9ac_2.txt	read_counts_per_gene_GF-H3K9ac_3.txt	read_counts_per_gene_GF-H3K9ac_4.txt
9130204L05Rik	9.042161394322031	7.232107815357051	5.821666702939504	8.471060260718717	8.015793497758628	7.0	2.4861609293974887	7.341985588589771	6.542910736451268	4.03677726984083
9130206I24Rik	14.105771775142367	16.591306164642646	12.966439474728897	17.59374054149272	30.281886547088146	13.0	41.767503613877814	25.87175874074491	35.7679120259336	46.1986731992895
9130209A04Rik	9.042161394322031	8.508362135714178	8.732500054409257	9.774300300829289	9.797080941704989	3.0	7.458482788192466	9.789314118119695	11.777239325612282	10.316208578482122
9130221F21Rik	5.425296836593218	8.08294402892847	10.5848485507991	8.471060260718717	8.015793497758628	4.0	8.452947159951462	9.789314118119695	8.287686932838273	10.316208578482122
9130221H12Rik	7.595415571230506	13.187961310356975	8.997121268179235	7.167820220608146	10.68772466367817	6.0	16.905894319902924	13.984734454456706	15.702985767483042	15.698578271603228
9130227L01Rik	11.93565304050508	9.359198349285595	6.880151558019415	2.606480080221144	7.125149775785446	7.0	7.955714974071964	8.390840672674024	4.798134540064263	10.764739386242214
9130230L23Rik	19.531068611735584	35.309702863213836	60.06901552578489	43.006921323648875	67.68892286996174	21.0	166.07555008375223	145.44123832634975	152.66791718386293	205.87564076188235
9130401M01Rik	7.957102027003387	7.232107815357051	11.643333405879009	5.8645801804975735	12.46901210762453	4.0	17.900358691661918	12.236642647649617	10.032463129225277	13.90445504056286
9130404H23Rik	19.531068611735584	28.07759504785679	57.15818217431514	26.064800802211437	47.20411726457858	19.0	128.7831361427899	120.26871630832767	97.70746699767227	142.63279686770935
9130409I23Rik	9.403847850094913	10.210034562857015	8.203257626869302	4.561340140387002	5.343862331839085	8.0	10.441875903469453	7.341985588589771	8.723880981935023	9.867677770722029
9230009I02Rik	8.318788482776268	7.65752592214276	8.997121268179235	14.335640441216292	5.343862331839085	6.0	6.961250602312968	11.187787563565365	6.979104785548019	6.727962116401383
9230102K24Rik	7.957102027003387	8.08294402892847	9.261742481949213	6.516200200552859	5.343862331839085	9.0	7.458482788192466	8.740459034035442	13.085821472902536	14.352985848322952
9230102O04Rik	10.850593673186436	9.784616456071305	8.997121268179235	11.729160360995147	8.906437219731808	10.0	15.911429948143928	6.293130504505518	7.851492883741521	12.558862617282582
9230104L09Rik	11.93565304050508	7.232107815357051	6.880151558019415	9.774300300829289	13.359655829597711	6.0	6.961250602312968	9.439695756758276	10.032463129225277	8.07355453968166
9230105E05Rik	7.595415571230506	6.381271601785634	10.5848485507991	9.122680280774004	13.359655829597711	7.0	12.430804646987443	10.138932479481113	6.542910736451268	11.661801001762399
9230110C19Rik	10.488907217413555	6.8066897085713425	10.320227337029122	7.819440240663432	12.46901210762453	9.0	19.392055249300412	12.236642647649617	14.83059766928954	14.352985848322952
9230110F15Rik	5.425296836593218	5.105017281428507	3.704696992779685	3.909720120331716	4.453218609865904	7.0	8.452947159951462	4.54503869769843	6.106716687354517	5.382369693121107
9230112D13Rik	10.850593673186436	10.635452669642723	10.849469764569077	11.729160360995147	13.359655829597711	12.0	8.452947159951462	9.439695756758276	13.522015521999286	12.558862617282582
9230112J17Rik	9.765534305867792	10.635452669642723	11.643333405879009	9.774300300829289	15.140943273544073	11.0	13.922501204625936	8.390840672674024	12.213433374709034	19.735355541444058
9230114K14Rik	30.019975829149143	52.326427134642195	100.02681880505149	102.95596316873518	138.9404206278162	38.0	226.73787676105098	191.24124366469547	186.25485896431275	271.8096695026159
9230115E21Rik	4.340237469274575	5.105017281428507	6.880151558019415	3.909720120331716	4.453218609865904	9.0	4.475089672915479	5.9435121431441	9.160075031031775	9.419146962961937
9230116N13Rik	10.850593673186436	14.038797523928395	15.083409184888717	11.077540340939862	26.719311659195423	14.0	27.347770223372375	22.37557512713073	24.86306079851482	34.5368721975271
9330020H09Rik	14.82914468668813	26.80134072749966	39.428560851726644	38.44558118326187	51.657335874444485	15.0	133.75545800158488	91.60001067669143	119.51716945250983	158.77990594707265
9330111N05Rik	14.82914468668813	19.1438148053569	22.492803170448088	29.32290090248787	43.641542376685855	17.0	48.23152203031128	37.059546304310274	47.98134540064263	59.20606662433217
9330117O12	13.744085319369486	4.254181067857089	10.055606123259144	7.819440240663432	7.125149775785446	13.0	6.961250602312968	7.341985588589771	10.032463129225277	8.970616155201846
9330133O14Rik	16.637576965552537	23.39799587321399	37.31159114156683	33.232621022819586	66.79827914798855	20.0	66.1318807219732	55.23970109510399	70.6634359536737	109.44151709346251
9330151L19Rik	14.467458230915248	18.71839669857119	27.52060623207766	33.88424104287487	37.407036322873594	20.0	91.49072220182758	56.63817454054966	65.42910736451267	101.81649336154094
9330158H04Rik	6.510356203911862	8.508362135714178	9.261742481949213	12.380780381050434	7.125149775785446	10.0	6.464018416433471	5.244275420421265	5.670522638257766	5.830900500881199
9330159F19Rik	5.425296836593218	8.08294402892847	8.203257626869302	8.471060260718717	6.234506053812265	8.0	4.475089672915479	5.593893781782683	3.4895523927740095	4.485308077600923
9330159M07Rik	6.872042659684743	11.48628888321414	10.055606123259144	8.471060260718717	15.140943273544073	10.0	17.40312650578242	10.138932479481113	9.596269080128526	17.044170694883505
9330162B11Rik	9.042161394322031	5.955853494999925	11.114090978339055	3.2581001002764296	9.797080941704989	11.0	7.955714974071964	8.740459034035442	10.90485122741878	4.485308077600923
9330175E14Rik	9.042161394322031	10.210034562857015	13.231060688498875	10.425920320884575	9.797080941704989	15.0	20.386519621059406	7.691603949951189	11.341045276515532	10.764739386242214
9330175M20Rik	12.297339496277962	11.91170698999985	7.6740151993293475	11.729160360995147	6.234506053812265	3.0	15.911429948143928	10.138932479481113	11.777239325612282	11.661801001762399
9330178D15Rik	9.042161394322031	6.8066897085713425	4.763181847859595	4.561340140387002	4.453218609865904	3.0	6.961250602312968	8.041222311312605	9.160075031031775	2.6911848465605535
9330179D12Rik	13.020712407823725	20.42006912571403	28.049848659617613	20.85184064176915	28.500599103141784	21.0	61.65679104905772	61.18321323824809	58.45000257896466	56.963412585531714
9330182L06Rik	10.488907217413555	11.060870776428432	8.203257626869302	9.774300300829289	10.68772466367817	10.0	15.41419776226443	11.8870242862882	10.46865717832203	13.007393425042675
9330182O14Rik	5.7869832923660995	6.381271601785634	6.6155303442494375	13.032400401105718	3.562574887892723	4.0	10.93910808934895	8.390840672674024	6.979104785548019	11.661801001762399
9430007A20Rik	6.510356203911862	7.65752592214276	7.40939398555937	7.819440240663432	2.6719311659195424	9.0	5.966786230553973	6.992367227228353	3.0533583436772584	4.03677726984083
9430008C03Rik	8.68047493854915	9.784616456071305	7.938636413099324	7.167820220608146	14.250299551570892	10.0	18.39759087754142	8.390840672674024	22.24589650393431	24.22066361904498
9430014N10Rik	8.318788482776268	6.381271601785634	6.6155303442494375	7.167820220608146	6.234506053812265	7.0	6.464018416433471	6.642748865866936	3.9257464418707606	2.2426540388004614
9430015G10Rik	13.744085319369486	15.31505184428552	27.255985018307683	23.458320721990294	20.48480560538316	13.0	76.07652443956316	40.20611155656303	51.47089779341664	84.32379185889734
9430016H08Rik	18.807695700189825	28.928431261428205	40.75166692057653	33.88424104287487	30.281886547088146	23.0	98.45197280414055	61.53283159960951	66.73768951180293	96.88265447617992
9430018G01Rik	5.063610380820337	5.530435388214216	5.027803061629572	11.077540340939862	6.234506053812265	2.0	4.475089672915479	8.740459034035442	4.361940490967512	9.867677770722029
9430019J16Rik	9.042161394322031	9.784616456071305	6.880151558019415	6.516200200552859	6.234506053812265	7.0	6.464018416433471	7.691603949951189	4.361940490967512	7.625023731921568
9430020K01Rik	7.233729115457624	9.359198349285595	8.732500054409257	9.774300300829289	4.453218609865904	7.0	6.961250602312968	6.992367227228353	8.723880981935023	11.213270194002305
9430021M05Rik	5.7869832923660995	13.613379417142685	12.966439474728897	15.638880481326863	12.46901210762453	11.0	12.928036832866942	8.041222311312605	13.958209571096038	10.316208578482122
9430023L20Rik	25.318051904101686	43.818064998928016	75.41704592444358	57.34256176486517	90.84565964126443	30.0	204.85966058235306	192.2900987487797	148.74217074199217	291.09649423629986
9430031J16Rik	6.148669748138981	7.65752592214276	5.027803061629572	5.8645801804975735	3.562574887892723	5.0	3.977857487035982	3.4961836136141766	4.798134540064263	1.794123231040369
9430032N09Rik	8.318788482776268	8.933780242499887	7.40939398555937	7.819440240663432	9.797080941704989	14.0	7.458482788192466	5.593893781782683	8.287686932838273	7.625023731921568
9430037G07Rik	10.127220761640674	12.762543203571267	15.348030398658695	14.987260461271577	18.703518161436797	11.0	21.380983992818404	17.8305364294323	25.73544889670832	34.08834138976701
