tracking_id	q27_FPKM	q28_FPKM	q29_FPKM	q30_FPKM	q31_FPKM	q32_FPKM	q27_FPKMr	q28_FPKMr	q29_FPKMr	q30_FPKMr	q31_FPKMr	q32_FPKMr
Ptpra	9.44366	10.5128	10.6201	9.30034	9.35978	8.56927	9.44366	10.5128	10.6201	9.30034	9.35978	8.56927
Ptprb	1.24748	1.07162	0.843329	0.792466	1.40337	1.00749	1.24748	1.07162	0.843329	0.792466	1.40337	1.00749
Ptprc	4.50904	5.65558	4.75147	5.55534	4.22774	3.97103	4.50904	5.65558	4.75147	5.55534	4.22774	3.97103
Ptprcap	6.51721	7.63527	6.90473	8.91338	5.4464	8.5834	6.51721	7.63527	6.90473	8.91338	5.4464	8.5834
Ptprd	9.4505	12.2581	13.9699	16.5164	16.8488	14.7915	9.4505	12.2581	13.9699	16.5164	16.8488	14.7915
Ptpre	8.58189	6.19491	6.83283	9.82462	14.4037	9.86197	8.58189	6.19491	6.83283	9.82462	14.4037	9.86197
Ptprf	56.1235	50.8875	53.7997	44.519	43.0939	46.3506	56.1235	50.8875	53.7997	44.519	43.0939	46.3506
Ptprg	2.98451	3.76553	2.82594	2.46814	2.8361	2.93071	2.98451	3.76553	2.82594	2.46814	2.8361	2.93071
Ptprh	104.161	95.7258	124.653	130.914	121.967	116.131	104.161	95.7258	124.653	130.914	121.967	116.131
Ptprj	16.734	19.8066	27.1303	24.0993	17.205	20.6999	16.734	19.8066	27.1303	24.0993	17.205	20.6999
Ptprk	7.33378	8.2355	9.79262	8.05582	7.0657	7.06824	7.33378	8.2355	9.79262	8.05582	7.0657	7.06824
Ptprn2	3.23603	2.03951	2.49785	2.45602	2.28361	2.72976	3.23603	2.03951	2.49785	2.45602	2.28361	2.72976
Ptprr	31.4628	40.6888	61.117	55.6805	34.397	42.9691	31.4628	40.6888	61.117	55.6805	34.397	42.9691
Ptrf	7.43895	5.61644	4.21716	3.81275	6.80871	6.2835	7.43895	5.61644	4.21716	3.81275	6.80871	6.2835
Ptrh1	24.1141	14.2222	24.1829	35.3537	33.2185	27.1214	24.1141	14.2222	24.1829	35.3537	33.2185	27.1214
Ptrh2	1.71769	1.95338	1.25718	1.3819	1.58189	1.51277	1.71769	1.95338	1.25718	1.3819	1.58189	1.51277
Pts	24.4323	29.1785	27.1661	24.7665	20.7417	28.1417	24.4323	29.1785	27.1661	24.7665	20.7417	28.1417
Pttg1	34.6823	32.4206	29.3609	25.5462	34.0214	26.4993	34.6823	32.4206	29.3609	25.5462	34.0214	26.4993
Pttg1ip	167.863	205.914	185.245	180.752	166.873	157.198	167.863	205.914	185.245	180.752	166.873	157.198
Puf60	32.1514	32.4946	35.8508	31.9413	32.6774	35.2336	32.1514	32.4946	35.8508	31.9413	32.6774	35.2336
Pum1	10.1641	10.3982	10.7304	10.8323	10.2383	10.7502	10.1641	10.3982	10.7304	10.8323	10.2383	10.7502
Pum2	12.7228	15.5971	13.6314	14.0917	13.9291	13.4707	12.7228	15.5971	13.6314	14.0917	13.9291	13.4707
Pura	7.30308	6.51898	6.56086	6.83466	7.17634	7.75045	7.30308	6.51898	6.56086	6.83466	7.17634	7.75045
Purb	12.3926	13.0565	12.5924	12.8358	13.4924	12.1382	12.3926	13.0565	12.5924	12.8358	13.4924	12.1382
Pus1	5.38466	6.13665	5.25316	4.49337	4.03224	5.97793	5.38466	6.13665	5.25316	4.49337	4.03224	5.97793
Pus10	2.87959	3.28242	3.05539	2.63089	3.12962	2.99709	2.87959	3.28242	3.05539	2.63089	3.12962	2.99709
Pus3	2.5908	2.37402	1.92743	1.57448	1.96777	2.11331	2.5908	2.37402	1.92743	1.57448	1.96777	2.11331
Pusl1	1.68393	1.69085	1.56807	2.54572	1.68982	1.53725	1.68393	1.69085	1.56807	2.54572	1.68982	1.53725
Pvr	7.49577	6.99707	9.74354	10.0908	10.4448	7.49081	7.49577	6.99707	9.74354	10.0908	10.4448	7.49081
Pvrl1	1.39365	1.13231	1.36101	1.17355	1.62965	1.34352	1.39365	1.13231	1.36101	1.17355	1.62965	1.34352
Pvrl2	90.2552	98.9398	107.891	86.3682	82.8047	104.184	90.2552	98.9398	107.891	86.3682	82.8047	104.184
Pvrl3	41.5007	51.6173	40.4564	42.7113	45.0435	40.9529	41.5007	51.6173	40.4564	42.7113	45.0435	40.9529
Pwp1	1.89869	2.19778	1.58382	1.40236	1.12399	1.79884	1.89869	2.19778	1.58382	1.40236	1.12399	1.79884
Pwp2	1.00115	0.935142	0.963716	0.816528	0.836232	0.969315	1.00115	0.935142	0.963716	0.816528	0.836232	0.969315
Pwwp2a	5.20681	5.10433	5.13559	4.97579	4.92258	4.91162	5.20681	5.10433	5.13559	4.97579	4.92258	4.91162
Pwwp2b	4.52607	5.02972	4.89812	5.01643	4.18095	4.44163	4.52607	5.02972	4.89812	5.01643	4.18095	4.44163
Pxdn	1.64294	1.42204	1.26065	0.904446	1.22731	1.03223	1.64294	1.42204	1.26065	0.904446	1.22731	1.03223
Pxk	39.2721	41.5437	44.345	43.4351	45.0721	49.6073	39.2721	41.5437	44.345	43.4351	45.0721	49.6073
Pxmp2	2.05578	2.19515	2.30152	2.12644	1.33085	1.04559	2.05578	2.19515	2.30152	2.12644	1.33085	1.04559
Pxmp3	30.3769	29.8854	27.4893	26.014	27.2802	27.0729	30.3769	29.8854	27.4893	26.014	27.2802	27.0729
Pxmp4	8.94281	12.5033	12.179	9.3064	9.41379	10.1984	8.94281	12.5033	12.179	9.3064	9.41379	10.1984
Pxn	48.9464	48.0981	49.5095	41.3103	41.2319	49.1191	48.9464	48.0981	49.5095	41.3103	41.2319	49.1191
Pycard	52.801	59.5233	53.2198	45.3054	31.3249	47.89	52.801	59.5233	53.2198	45.3054	31.3249	47.89
